#target_error dt final_error
1 0.4743480741674971 0.016722287833367117
0.5 0.4743480741674971 0.016722287833367117
0.25 0.2481972160535621 0.009219936510422603
0.125 0.12517559720613777 0.0030138576784075268
0.0625 0.06253763648759197 0.0008578459296718637
0.03125 0.03125612314978006 0.00022925642947599587
0.015625 0.015625852997748133 0.000059259147427240496
0.0078125 0.007812613875923665 0.000015068037982567021
0.00390625 0.003906264566062324 0.0000037990787081052595
0.001953125 0.0019531268411510138 0.0000009538312607233435
0.0009765625 0.0009765627313975368 0.00000023896904339308803
0.00048828125 0.0004882812790301144 0.00000005980615668504258
0.000244140625 0.00024414062863348696 0.000000014959657888077126
0.0001220703125 0.0001220703129544739 0.000000003740929411479101
0.00006103515625 0.00006103515630682759 0.0000000009353648688865193
0.000030517578125 0.000030517578132105705 0.0000000002338879026747618
0.0000152587890625 0.00001525878906338786 0.00000000005845376160118577
0.00000762939453125 0.000007629394531360484 0.000000000014655984014171494
0.000003814697265625 0.000003814697265638785 0.0000000000036206855402797314
0.0000019073486328125 0.0000019073486328137803 0.0000000000007107603909048739
0.00000095367431640625 0.0000009536743164066477 0.00000000000034225974629076654
0.000000476837158203125 0.0000004768371582030348 0.00000000000006766535149862453
0.0000002384185791015625 0.0000002384185791016859 0.00000000000037031854937985476
0.00000011920928955078125 0.00000011920928955081987 0.00000000000032227258840330595
0.00000005960464477539063 0.0000000596046447757622 0.000000000004854563112195905
0.000000029802322387695313 0.000000029802322388246857 0.000000000019331693036551164
